p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,,,,
0,3.210283462,0.723,0,0,Healthy/Control,ENSG00000124172,,,ENSG00000124172,ATP5F1E
0,2.921956796,0.624,0,0,Healthy/Control,ENSG00000233276,,,ENSG00000233276,GPX1
0,2.859319199,0.606,0,0,Healthy/Control,ENSG00000167283,,,ENSG00000167283,ATP5MG
0,2.83092705,0.597,0,0,Healthy/Control,ENSG00000135390,,,ENSG00000135390,ATP5MC2
0,2.801288377,0.583,0,0,Healthy/Control,ENSG00000156411,,,ENSG00000156411,ATP5MPL
0,2.586841883,0.509,0,0,Healthy/Control,ENSG00000169020,,,ENSG00000169020,ATP5ME
0,2.568490234,0.488,0,0,Healthy/Control,ENSG00000279483,,,ENSG00000279483,AC090498.1
0,2.314443973,0.416,0,0,Healthy/Control,ENSG00000099624,,,ENSG00000099624,ATP5F1D
0,2.128852337,0.358,0,0,Healthy/Control,ENSG00000241468,,,ENSG00000241468,ATP5MF
0,2.113386163,0.354,0,0,Healthy/Control,ENSG00000173915,,,ENSG00000173915,ATP5MD
0,2.048719068,0.326,0,0,Healthy/Control,ENSG00000180389,,,ENSG00000180389,ATP5F1EP2
0,1.810883521,0.273,0,0,Healthy/Control,ENSG00000241837,,,ENSG00000241837,ATP5PO
0,1.783292171,0.267,0,0,Healthy/Control,ENSG00000243317,,,ENSG00000243317,STMP1
0,1.716522603,0.251,0,0,Healthy/Control,ENSG00000154518,,,ENSG00000154518,ATP5MC3
0,1.524551457,0.599,0.169,0,Healthy/Control,ENSG00000100079,,,ENSG00000100079,LGALS2
0,1.279846982,0.353,0.093,0,Healthy/Control,ENSG00000179144,,,ENSG00000179144,GIMAP7
0,1.224938805,0.594,0.281,0,Healthy/Control,ENSG00000144426,,,ENSG00000144426,NBEAL1
0,1.189200777,0.878,0.49,0,Healthy/Control,ENSG00000182774,,,ENSG00000182774,RPS17
0,1.020368019,0.578,0.324,0,Healthy/Control,ENSG00000149925,,,ENSG00000149925,ALDOA
0,0.951942489,0.635,0.35,0,Healthy/Control,ENSG00000223865,,,ENSG00000223865,HLA-DPB1
0,0.75823663,0.925,0.681,0,Healthy/Control,ENSG00000241343,,,ENSG00000241343,RPL36A
0,0.657599632,0.673,0.504,0,Healthy/Control,ENSG00000265681,,,ENSG00000265681,RPL17
0,0.636863493,0.584,0.411,0,Healthy/Control,ENSG00000231389,,,ENSG00000231389,HLA-DPA1
0,0.424285395,0.842,0.744,0,Healthy/Control,ENSG00000204287,,,ENSG00000204287,HLA-DRA
0,0.336120933,0.923,0.856,0,Healthy/Control,ENSG00000019582,,,ENSG00000019582,CD74
0,0.257240899,0.716,0.691,0,Healthy/Control,ENSG00000196126,,,ENSG00000196126,HLA-DRB1
0,-0.254591539,0.868,0.994,0,Healthy/Control,ENSG00000092841,,,ENSG00000092841,MYL6
0,-0.267255057,0.867,0.995,0,Healthy/Control,ENSG00000245532,,,ENSG00000245532,NEAT1
0,-0.284912994,0.822,0.996,0,Healthy/Control,ENSG00000132475,,,ENSG00000132475,H3F3B
0,-0.314735067,0.83,0.998,0,Healthy/Control,ENSG00000198899,,,ENSG00000198899,MT-ATP6
0,-0.320079063,0.834,0.991,0,Healthy/Control,ENSG00000100300,,,ENSG00000100300,TSPO
0,-0.322204426,0.827,0.996,0,Healthy/Control,ENSG00000198888,,,ENSG00000198888,MT-ND1
0,-0.397022975,0.743,0.984,0,Healthy/Control,ENSG00000111229,,,ENSG00000111229,ARPC3
0,-0.417763955,0.797,0.982,0,Healthy/Control,ENSG00000197747,,,ENSG00000197747,S100A10
0,-0.442497161,0.779,0.996,0,Healthy/Control,ENSG00000122862,,,ENSG00000122862,SRGN
0,-0.446064091,0.765,0.93,0,Healthy/Control,ENSG00000163221,,,ENSG00000163221,S100A12
0,-0.448293468,0.726,0.981,0,Healthy/Control,ENSG00000184009,,,ENSG00000184009,ACTG1
0,-0.46870361,0.674,0.956,0,Healthy/Control,ENSG00000163931,,,ENSG00000163931,TKT
0,-0.480078991,0.788,0.997,0,Healthy/Control,ENSG00000026025,,,ENSG00000026025,VIM
0,-0.50144463,0.704,0.954,0,Healthy/Control,ENSG00000038427,,,ENSG00000038427,VCAN
0,-0.564544094,0.642,0.966,0,Healthy/Control,ENSG00000213719,,,ENSG00000213719,CLIC1
0,-0.583785205,0.613,0.971,0,Healthy/Control,ENSG00000081237,,,ENSG00000081237,PTPRC
0,-0.586597023,0.624,0.944,0,Healthy/Control,ENSG00000185201,,,ENSG00000185201,IFITM2
0,-0.596782543,0.563,0.912,0,Healthy/Control,ENSG00000101182,,,ENSG00000101182,PSMA7
0,-0.600629206,0.574,0.911,0,Healthy/Control,ENSG00000170458,,,ENSG00000170458,CD14
0,-0.605063514,0.593,0.957,0,Healthy/Control,ENSG00000026508,,,ENSG00000026508,CD44
0,-0.632458743,0.565,0.919,0,Healthy/Control,ENSG00000182718,,,ENSG00000182718,ANXA2
0,-0.637601804,0.548,0.929,0,Healthy/Control,ENSG00000184007,,,ENSG00000184007,PTP4A2
0,-0.643542012,0.549,0.938,0,Healthy/Control,ENSG00000122566,,,ENSG00000122566,HNRNPA2B1
0,-0.664028636,0.566,0.953,0,Healthy/Control,ENSG00000189403,,,ENSG00000189403,HMGB1
0,-0.667954211,0.538,0.925,0,Healthy/Control,ENSG00000172243,,,ENSG00000172243,CLEC7A
0,-0.669047026,0.571,0.941,0,Healthy/Control,ENSG00000117984,,,ENSG00000117984,CTSD
0,-0.673512775,0.584,0.97,0,Healthy/Control,ENSG00000162704,,,ENSG00000162704,ARPC5
0,-0.675714002,0.593,0.988,0,Healthy/Control,ENSG00000170345,,,ENSG00000170345,FOS
0,-0.677158015,0.52,0.922,0,Healthy/Control,ENSG00000118680,,,ENSG00000118680,MYL12B
0,-0.683497334,0.572,0.958,0,Healthy/Control,ENSG00000174021,,,ENSG00000174021,GNG5
0,-0.685729541,0.498,0.892,0,Healthy/Control,ENSG00000106803,,,ENSG00000106803,SEC61B
0,-0.688557812,0.514,0.92,0,Healthy/Control,ENSG00000109332,,,ENSG00000109332,UBE2D3
0,-0.689710506,0.486,0.876,0,Healthy/Control,ENSG00000132963,,,ENSG00000132963,POMP
0,-0.696536517,0.499,0.891,0,Healthy/Control,ENSG00000111144,,,ENSG00000111144,LTA4H
0,-0.702776594,0.525,0.938,0,Healthy/Control,ENSG00000138071,,,ENSG00000138071,ACTR2
0,-0.708448488,0.454,0.847,0,Healthy/Control,ENSG00000158710,,,ENSG00000158710,TAGLN2
0,-0.710953353,0.537,0.982,0,Healthy/Control,ENSG00000120129,,,ENSG00000120129,DUSP1
0,-0.718859976,0.41,0.791,0,Healthy/Control,ENSG00000133226,,,ENSG00000133226,SRRM1
0,-0.719555942,0.547,0.944,0,Healthy/Control,ENSG00000221869,,,ENSG00000221869,CEBPD
0,-0.719934499,0.505,0.901,0,Healthy/Control,ENSG00000155368,,,ENSG00000155368,DBI
0,-0.726103431,0.531,0.942,0,Healthy/Control,ENSG00000142634,,,ENSG00000142634,EFHD2
