p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,,,,
0,3.022114841,0.675,0,0,Healthy/Control,ENSG00000124172,,,ENSG00000124172,ATP5F1E
0,2.755644257,0.578,0,0,Healthy/Control,ENSG00000167283,,,ENSG00000167283,ATP5MG
0,2.518592373,0.49,0,0,Healthy/Control,ENSG00000135390,,,ENSG00000135390,ATP5MC2
0,2.484907188,0.477,0,0,Healthy/Control,ENSG00000156411,,,ENSG00000156411,ATP5MPL
0,2.289751156,0.407,0,0,Healthy/Control,ENSG00000169020,,,ENSG00000169020,ATP5ME
0,1.270496179,0.808,0.387,0,Healthy/Control,ENSG00000182774,,,ENSG00000182774,RPS17
0,-0.365457162,0.825,0.999,0,Healthy/Control,ENSG00000198668,,,ENSG00000198668,CALM1
0,-0.772468914,0.574,0.982,0,Healthy/Control,ENSG00000131051,,,ENSG00000131051,RBM39
0,-0.802993419,0.542,0.981,0,Healthy/Control,ENSG00000188042,,,ENSG00000188042,ARL4C
0,-0.947036449,0.459,0.943,0,Healthy/Control,ENSG00000115053,,,ENSG00000115053,NCL
0,-1.02704065,0.388,0.893,0,Healthy/Control,ENSG00000157514,,,ENSG00000157514,TSC22D3
0,-1.084140819,0.358,0.86,0,Healthy/Control,ENSG00000044574,,,ENSG00000044574,HSPA5
0,-1.096384097,0.388,0.937,0,Healthy/Control,ENSG00000087460,,,ENSG00000087460,GNAS
0,-1.14532018,0.366,0.915,0,Healthy/Control,ENSG00000137076,,,ENSG00000137076,TLN1
0,-1.202222895,0.349,0.962,0,Healthy/Control,ENSG00000130522,,,ENSG00000130522,JUND
0,-1.324974774,0.272,0.803,0,Healthy/Control,ENSG00000184897,,,ENSG00000184897,H1FX
0,-1.395528524,0.206,0.739,0,Healthy/Control,ENSG00000112739,,,ENSG00000112739,PRPF4B
0,-1.419253315,0.213,0.769,0,Healthy/Control,ENSG00000082074,,,ENSG00000082074,FYB1
0,-1.445051678,0.202,0.764,0,Healthy/Control,ENSG00000091527,,,ENSG00000091527,CDV3
0,-1.454641204,0.206,0.772,0,Healthy/Control,ENSG00000105373,,,ENSG00000105373,NOP53
0,-1.46054063,0.146,0.612,0,Healthy/Control,ENSG00000113811,,,ENSG00000113811,SELENOK
0,-1.46280357,0.227,0.83,0,Healthy/Control,ENSG00000123144,,,ENSG00000123144,TRIR
0,-1.482749373,0.173,0.698,0,Healthy/Control,ENSG00000172428,,,ENSG00000172428,COPS9
0,-1.503711244,0.117,0.56,0,Healthy/Control,ENSG00000147548,,,ENSG00000147548,NSD3
0,-1.506907874,0.204,0.779,0,Healthy/Control,ENSG00000145675,,,ENSG00000145675,PIK3R1
0,-1.550417669,0.196,0.789,0,Healthy/Control,ENSG00000121966,,,ENSG00000121966,CXCR4
0,-1.57586055,0.14,0.665,0,Healthy/Control,ENSG00000101782,,,ENSG00000101782,RIOK3
0,-1.58185266,0.17,0.739,0,Healthy/Control,ENSG00000178980,,,ENSG00000178980,SELENOW
0,-1.599843359,0.268,0.994,0,Healthy/Control,ENSG00000204628,,,ENSG00000204628,RACK1
0,-1.628110244,0.232,0.896,0,Healthy/Control,ENSG00000269028,,,ENSG00000269028,MTRNR2L12
0,-1.629857006,0.159,0.722,0,Healthy/Control,ENSG00000107968,,,ENSG00000107968,MAP3K8
0,-1.648002133,0.187,0.852,0,Healthy/Control,ENSG00000211592,,,ENSG00000211592,IGKC
0,-1.669396977,0.229,0.942,0,Healthy/Control,ENSG00000103363,,,ENSG00000103363,ELOB
0,-1.684007276,0.088,0.558,0,Healthy/Control,ENSG00000126804,,,ENSG00000126804,ZBTB1
0,-1.767882868,0.077,0.555,0,Healthy/Control,ENSG00000118503,,,ENSG00000118503,TNFAIP3
0,-1.82211485,0.016,0.39,0,Healthy/Control,ENSG00000211679,,,ENSG00000211679,IGLC3
0,-2.019052064,0.035,0.525,0,Healthy/Control,ENSG00000113448,,,ENSG00000113448,PDE4D
0,-2.098343771,0.086,0.744,0,Healthy/Control,ENSG00000187837,,,ENSG00000187837,HIST1H1C
0,-2.139342791,0.031,0.573,0,Healthy/Control,ENSG00000211895,,,ENSG00000211895,IGHA1
0,-2.25470209,0.073,0.751,0,Healthy/Control,ENSG00000124575,,,ENSG00000124575,HIST1H1D
0,-2.289583635,0.075,0.801,0,Healthy/Control,ENSG00000168298,,,ENSG00000168298,HIST1H1E
0,-2.42711433,0.03,0.619,0,Healthy/Control,ENSG00000109321,,,ENSG00000109321,AREG
0,-2.621534061,0.002,0.63,0,Healthy/Control,ENSG00000244734,,,ENSG00000244734,HBB
7.09E-306,-0.787153678,0.529,0.961,2.36E-301,Healthy/Control,ENSG00000146278,,,ENSG00000146278,PNRC1
9.04E-306,-0.991121522,0.399,0.887,3.00E-301,Healthy/Control,ENSG00000166598,,,ENSG00000166598,HSP90B1
3.08E-305,-1.009326878,0.392,0.896,1.02E-300,Healthy/Control,ENSG00000117523,,,ENSG00000117523,PRRC2C
5.45E-305,-0.926726659,0.438,0.916,1.81E-300,Healthy/Control,ENSG00000153187,,,ENSG00000153187,HNRNPU
3.12E-304,-1.218066845,0.265,0.776,1.04E-299,Healthy/Control,ENSG00000234545,,,ENSG00000234545,FAM133B
1.06E-303,-1.21520434,0.263,0.769,3.53E-299,Healthy/Control,ENSG00000029363,,,ENSG00000029363,BCLAF1
2.00E-297,-0.702535469,0.574,0.968,6.63E-293,Healthy/Control,ENSG00000164924,,,ENSG00000164924,YWHAZ
