"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031638","zymogen activation","7/177","72/21069",2.43896650059494e-06,0.00670715787663609,0.00577393227351371,"HP/ASPH/THBS1/THBD/VSIR/RUNX1/CTSL",7
"GO:0034976","response to endoplasmic reticulum stress","12/177","295/21069",7.85431351736283e-06,0.0107996810863739,0.00929702689502579,"CLU/CXCL8/UFD1/RACK1/PTPN1/SELENOK/THBS1/NIBAN1/PPP1R15A/SELENOS/PIK3R1/UBE2J1",12
"GO:1990748","cellular detoxification","8/177","130/21069",1.43905911222676e-05,0.0131913751954119,0.0113559436610455,"HBB/HP/SELENOW/PIM1/HBA2/SELENOS/ALOX5AP/SELENOT",8
"GO:0097237","cellular response to toxic substance","8/177","145/21069",3.171189551382e-05,0.0211912565379192,0.0182427314655618,"HBB/HP/SELENOW/PIM1/HBA2/SELENOS/ALOX5AP/SELENOT",8
"GO:0061097","regulation of protein tyrosine kinase activity","7/177","111/21069",4.27294265771428e-05,0.0211912565379192,0.0182427314655618,"HBEGF/AREG/EREG/RACK1/PTPN1/SH3BP5/FCGR1A",7
"GO:0098869","cellular oxidant detoxification","7/177","115/21069",5.35938400398589e-05,0.0211912565379192,0.0182427314655618,"HBB/HP/SELENOW/HBA2/SELENOS/ALOX5AP/SELENOT",7
"GO:0006911","phagocytosis, engulfment","7/177","123/21069",8.21326648953743e-05,0.0211912565379192,0.0182427314655618,"IGHA1/IGLC3/IGLC2/IGKC/THBS1/FCGR1A/RAB31",7
"GO:1901654","response to ketone","9/177","215/21069",8.83518955297116e-05,0.0211912565379192,0.0182427314655618,"F5/THBS1/KLF9/PTGER2/AHR/FOXO3/ATP2B1/SGK1/PTAFR",9
"GO:1903573","negative regulation of response to endoplasmic reticulum stress","5/177","54/21069",8.96182773272361e-05,0.0211912565379192,0.0182427314655618,"CLU/RACK1/PTPN1/PPP1R15A/SELENOS",5
"GO:0098532","histone H3-K27 trimethylation","3/177","11/21069",9.15328080532745e-05,0.0211912565379192,0.0182427314655618,"H1-4/H1-2/H1-3",3
"GO:0098754","detoxification","8/177","170/21069",9.76224768703946e-05,0.0211912565379192,0.0182427314655618,"HBB/HP/SELENOW/PIM1/HBA2/SELENOS/ALOX5AP/SELENOT",8
"GO:0042149","cellular response to glucose starvation","5/177","55/21069",9.79146463416724e-05,0.0211912565379192,0.0182427314655618,"UPP1/PLIN2/FOXO3/PLIN3/CPEB4",5
"GO:0016485","protein processing","10/177","275/21069",0.000115714168888115,0.0211912565379192,0.0182427314655618,"HP/ASPH/MAFB/THBS1/THBD/VSIR/CPD/RUNX1/CST7/CTSL",10
"GO:0097193","intrinsic apoptotic signaling pathway","11/177","332/21069",0.000120481282723446,0.0211912565379192,0.0182427314655618,"CLU/BCL2A1/HIF1A/RACK1/PTPN1/SELENOK/PPP1R15A/SELENOS/PIK3R1/CDKN2D/BCLAF1",11
"GO:0006959","humoral immune response","12/177","392/21069",0.000124823890625535,0.0211912565379192,0.0182427314655618,"CLU/IGHA1/RGCC/CXCL8/CXCL2/IGLC3/IGLC2/CR1/IGKC/CXCL3/GPR183/TREM1",12
"GO:0099024","plasma membrane invagination","7/177","132/21069",0.000127937827888655,0.0211912565379192,0.0182427314655618,"IGHA1/IGLC3/IGLC2/IGKC/THBS1/FCGR1A/RAB31",7
"GO:0045860","positive regulation of protein kinase activity","13/177","457/21069",0.000135455956371582,0.0211912565379192,0.0182427314655618,"CLU/RGCC/HBEGF/AREG/EREG/FAM20A/PTPN1/THBS1/ACSL1/DIPK2A/SYAP1/ADAM9/FCGR1A",13
"GO:0042542","response to hydrogen peroxide","7/177","134/21069",0.000140503787978762,0.0211912565379192,0.0182427314655618,"HBB/HP/AREG/RACK1/HBA2/FOXO3/ADAM9",7
"GO:0045741","positive regulation of epidermal growth factor-activated receptor activity","3/177","13/21069",0.000156703567365353,0.0211912565379192,0.0182427314655618,"HBEGF/AREG/EREG",3
"GO:0071389","cellular response to mineralocorticoid stimulus","3/177","13/21069",0.000156703567365353,0.0211912565379192,0.0182427314655618,"FOXO3/ATP2B1/SGK1",3
