"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904949","ATPase complex","9/187","125/22283",1.12755891301665e-06,0.000337140114991978,0.000293165317384329,"BRD7/CHD4/VPS4B/CHD3/SMARCA2/DDX21/ING3/SMARCD1/INO80",9
"GO:0000786","nucleosome","9/187","137/22283",2.42351959499628e-06,0.000350105337463665,0.000304439423881448,"H1-4/H1-3/H1-2/H1-10/H2AC20/HP1BP3/EPC1/KAT6B/ING3",9
"GO:0044815","DNA packaging complex","10/187","183/22283",3.51276258324748e-06,0.000350105337463665,0.000304439423881448,"H1-4/H1-3/H1-2/H1-10/H2AC20/HP1BP3/EPC1/RAD21/KAT6B/ING3",10
"GO:0032993","protein-DNA complex","11/187","234/22283",4.86426144981929e-06,0.000363603543373992,0.000316176994238254,"H1-4/H1-3/H1-2/H1-10/JUND/H2AC20/TAF10/HP1BP3/EPC1/KAT6B/ING3",11
"GO:0070603","SWI/SNF superfamily-type complex","8/187","121/22283",8.49106733618799e-06,0.000507765826704042,0.000441535501481776,"BRD7/CHD4/CHD3/SMARCA2/DDX21/ING3/SMARCD1/INO80",8
"GO:0071735","IgG immunoglobulin complex","3/187","10/22283",6.68310489679961e-05,0.00253294439795547,0.00220256034604824,"IGHA1/IGLC3/IGKC",3
"GO:0071745","IgA immunoglobulin complex","3/187","10/22283",6.68310489679961e-05,0.00253294439795547,0.00220256034604824,"IGHA1/IGLC3/IGKC",3
"GO:0008023","transcription elongation factor complex","5/187","51/22283",6.7771087570715e-05,0.00253294439795547,0.00220256034604824,"ELOB/CDK13/CCNK/ELOC/CDK12",5
"GO:0019908","nuclear cyclin-dependent protein kinase holoenzyme complex","3/187","11/22283",9.13250389561869e-05,0.00303402073865554,0.00263827890317873,"CDK13/CCNK/CDK12",3
"GO:0090575","RNA polymerase II transcription regulator complex","10/187","274/22283",0.000112303491090548,0.0033578743836074,0.00291989076835426,"JUND/RUNX3/TAF10/STAT3/NFIL3/CHD4/MAFF/CEBPZ/MED23/ASCC3",10
"GO:0000307","cyclin-dependent protein kinase holoenzyme complex","4/187","51/22283",0.000882104735387985,0.0239772105346371,0.0208497482909887,"CCNL1/CDK13/CCNK/CDK12",4
"GO:0000123","histone acetyltransferase complex","5/187","98/22283",0.00142652504119546,0.0355442489431203,0.0309080425592351,"TAF10/EPC1/BRD1/KAT6B/ING3",5
"GO:0032806","carboxy-terminal domain protein kinase complex","3/187","28/22283",0.00163253116070706,0.0375482166962623,0.0326506232141412,"CDK13/CCNK/CDK12",3
"GO:0031248","protein acetyltransferase complex","5/187","108/22283",0.00218941893139812,0.0431226074478169,0.0374979195198408,"TAF10/EPC1/BRD1/KAT6B/ING3",5
"GO:1902493","acetyltransferase complex","5/187","108/22283",0.00218941893139812,0.0431226074478169,0.0374979195198408,"TAF10/EPC1/BRD1/KAT6B/ING3",5
"GO:0042571","immunoglobulin complex, circulating","4/187","66/22283",0.00230756427814405,0.0431226074478169,0.0374979195198408,"IGHA1/IGLC3/IGKC/IGLC2",4
